timestamp,solar_radiation,temperature,humidity,wind_speed,pressure
2023-05-26,8.3863,15.75,67.36,2.34,102.31
2023-05-27,7.9706,15.73,75.35,3.41,102.45
2023-05-28,7.2331,16.4,73.79,2.52,101.87
2023-05-29,7.3399,16.76,76.68,5.38,101.61
2023-05-30,8.5483,14.44,76.96,5.34,102.11
2023-05-31,8.4874,15.03,82.07,2.76,102.08
2023-06-01,8.2001,17.57,85.79,2.19,101.74
2023-06-02,7.5307,19.35,83.4,1.97,101.17
2023-06-03,3.1241,16.81,83.32,6.5,101.37
2023-06-04,6.7704,14.63,71.61,4.21,101.48
2023-06-05,6.4546,17.18,68.88,3.52,101.0
2023-06-06,5.6827,17.77,74.11,4.25,100.33
2023-06-07,6.0754,16.78,72.22,3.83,100.25
2023-06-08,5.9609,16.55,71.84,1.98,100.48
2023-06-09,6.1694,17.07,76.71,2.4,100.57
2023-06-10,6.9967,18.34,75.01,3.21,100.76
2023-06-11,5.6534,19.17,84.33,4.15,101.01
2023-06-12,4.5115,19.14,91.59,6.64,100.59
2023-06-13,7.7904,19.49,74.12,4.85,100.38
2023-06-14,4.3061,18.94,83.0,5.64,100.04
2023-06-15,6.3432,19.5,75.32,4.69,100.25
2023-06-16,3.2942,18.97,84.33,3.45,100.45
2023-06-17,6.5335,19.5,74.33,5.25,100.36
2023-06-18,6.8196,20.67,70.77,3.14,100.94
2023-06-19,6.8638,19.9,83.61,3.66,101.6
2023-06-20,5.5082,18.52,85.09,5.44,102.07
2023-06-21,4.776,17.87,77.88,7.74,102.23
2023-06-22,2.9784,17.47,84.91,7.25,101.94
2023-06-23,2.2817,18.98,92.41,4.19,101.49
2023-06-24,4.2845,21.01,93.15,4.64,100.95
2023-06-25,5.1881,21.82,89.89,3.1,100.83
2023-06-26,3.4778,21.03,96.24,4.43,100.64
2023-06-27,3.9528,20.98,94.67,4.88,100.46
2023-06-28,5.5987,21.86,87.82,2.54,100.84
2023-06-29,6.533,21.66,79.75,3.18,101.47
2023-06-30,5.9794,22.03,85.52,3.2,101.62
2023-07-01,5.629,21.68,88.38,3.84,101.55
2023-07-02,5.1274,23.39,91.33,5.38,100.98
2023-07-03,6.0756,24.91,87.23,3.91,100.9
2023-07-04,5.1804,24.99,86.02,2.11,101.1
2023-07-05,7.4875,25.18,82.78,2.69,101.35
2023-07-06,7.5533,24.78,87.62,3.43,101.23
2023-07-07,4.9918,24.74,88.77,2.55,101.0
2023-07-08,4.86,24.79,88.48,2.53,100.93
2023-07-09,2.4617,24.32,91.05,3.57,100.86
2023-07-10,5.9153,25.16,81.0,3.61,100.67
2023-07-11,7.657,25.19,72.24,3.52,101.08
2023-07-12,7.0109,25.94,75.87,3.99,101.18
2023-07-13,6.1999,25.81,86.03,5.85,101.01
2023-07-14,5.1883,25.38,88.93,4.09,101.12
2023-07-15,5.4838,25.55,88.86,3.63,101.22
2023-07-16,2.0232,24.79,95.68,4.59,100.91
2023-07-17,5.8603,25.43,87.01,3.02,101.19
2023-07-18,5.1562,25.28,90.52,3.86,101.3
2023-07-19,3.6674,23.97,87.69,2.4,101.49
2023-07-20,6.263,24.67,78.54,3.06,101.32
2023-07-21,6.3602,24.9,86.74,4.12,100.65
2023-07-22,7.2346,24.15,72.89,3.71,100.79
2023-07-23,7.115,24.78,72.2,3.03,101.31
2023-07-24,5.8046,24.45,83.42,4.14,101.76
2023-07-25,4.5576,24.63,86.94,2.96,101.67
2023-07-26,7.0728,24.45,80.82,3.86,101.69
2023-07-27,5.6386,26.21,87.44,6.27,101.25
2023-07-28,7.4462,26.75,81.68,3.18,101.33
2023-07-29,5.9887,26.25,84.49,5.3,100.72
2023-07-30,7.2382,22.32,68.03,4.6,101.19
2023-07-31,6.5762,23.51,68.69,2.56,101.37
2023-08-01,6.8724,22.72,64.65,3.38,101.84
2023-08-02,7.2288,21.75,62.05,3.39,102.1
2023-08-03,4.4366,22.35,69.76,5.46,101.79
2023-08-04,2.6503,22.6,83.59,5.69,101.32
2023-08-05,5.4907,23.84,75.97,2.26,101.29
2023-08-06,6.5777,23.68,77.13,3.73,101.44
2023-08-07,3.0941,24.06,92.03,6.3,101.0
2023-08-08,4.1266,24.14,79.25,6.51,100.26
2023-08-09,7.0193,23.93,70.43,5.65,100.59
2023-08-10,1.9562,22.91,89.29,4.44,100.43
2023-08-11,6.6233,23.59,78.03,3.56,100.7
